,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,flin flon,CA,54.77,-101.86,61.9,91,61,4.34
1,vanimo,PG,-2.67,141.3,85.91,63,4,9.15
2,rikitea,PF,-23.12,-134.97,70.16,83,98,20.78
3,norman wells,CA,65.28,-126.83,59.0,62,20,5.82
4,namibe,AO,-15.2,12.15,61.95,90,59,2.59
5,albany,US,42.6,-73.97,61.0,72,2,4.12
6,basco,PH,20.45,121.97,84.11,77,100,11.23
7,aberdeen,GB,57.14,-2.1,61.0,100,100,16.11
8,ipixuna,BR,-1.76,-48.8,77.0,88,97,8.05
9,taltal,CL,-25.4,-70.48,50.58,73,0,2.24
10,leningradskiy,RU,69.38,178.42,54.12,60,98,7.49
11,barrow,US,71.29,-156.79,39.2,93,90,11.41
12,puerto ayora,EC,-0.74,-90.35,66.99,93,95,5.99
13,sambava,MG,-14.27,50.17,70.56,84,93,9.28
14,mouila,GA,-1.87,11.06,73.96,80,99,1.7
15,kapaa,US,22.08,-159.32,80.6,74,40,14.99
16,kosonsoy,UZ,41.26,71.55,73.4,49,53,2.24
17,hobart,AU,-42.88,147.33,57.0,50,75,12.75
18,kodiak,US,57.79,-152.41,59.0,77,75,3.36
19,ushuaia,AR,-54.8,-68.3,39.2,86,75,23.04
20,mataura,NZ,-46.19,168.86,48.99,93,98,5.99
21,upernavik,GL,72.79,-56.15,46.9,75,18,2.62
22,mancio lima,BR,-7.61,-72.9,76.39,78,0,2.37
23,vaini,TO,-21.2,-175.2,75.2,83,75,10.29
24,qaanaaq,GL,77.48,-69.36,45.07,87,100,6.46
25,marsa matruh,EG,31.35,27.25,73.4,83,20,4.7
26,arraial do cabo,BR,-22.97,-42.03,71.17,91,1,23.11
27,aitape,PG,-3.14,142.35,86.63,62,14,9.31
28,yaan,NG,7.38,8.57,71.73,98,100,6.17
29,khatanga,RU,71.97,102.5,61.18,45,19,10.56
30,saskylakh,RU,71.92,114.08,47.97,54,99,3.62
31,butaritari,KI,3.07,172.79,83.14,77,98,12.15
32,punta arenas,CL,-53.15,-70.92,46.4,70,62,29.97
33,east london,ZA,-33.02,27.91,42.8,70,0,2.24
34,ahipara,NZ,-35.17,173.17,61.39,74,0,15.41
35,mount gambier,AU,-37.83,140.77,55.4,66,75,23.04
36,nanortalik,GL,60.14,-45.24,45.75,74,1,10.92
37,lata,PT,40.16,-8.33,70.0,91,93,1.99
38,daru,PG,-9.08,143.21,79.43,68,12,9.64
39,kaduqli,SD,11.02,29.72,73.8,89,81,0.69
